Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,37674
Base Time Seconds,1705531612
Base Time Fractional,.887012950
Base Time,01/17/2024 22:46:52.887012950,
Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Relative Time,Channel,CH Label
0.01160891136706,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.214233000,None,
0.01210925113799,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.217830000,None,
0.01140450258117,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.221424000,None,
0.01133801244618,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.224969000,None,
0.01136285760104,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.228502000,None,
0.0114828177749,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.232137000,None,
0.01141333521332,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.235757000,None,
0.01163075809645,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.239276000,None,
0.01155499585542,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.242857000,None,
0.0114499040514,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.246519000,None,
0.01171912563899,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.250077000,None,
0.01123839668064,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.253737000,None,
0.01142383395966,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.257283000,None,
0.01158311969824,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.260832000,None,
0.01144472210623,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.264412000,None,
0.01136857015904,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.267932000,None,
0.01141901944594,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.271473000,None,
0.01171201265777,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.274963000,None,
0.01135838596685,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.278553000,None,
0.0113654150716,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.282150000,None,
0.01113700224153,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.285652000,None,
0.01148968247781,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.289174000,None,
0.01173642348182,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.292805000,None,
0.01156404135962,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.296338000,None,
0.01171670679719,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.299831000,None,
0.0116039963247,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.303385000,None,
0.01136911166389,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.307015000,None,
0.01136374534872,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.310539000,None,
0.0112005501507,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.314086000,None,
0.01127819613737,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.317677000,None,
0.01149113647817,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.321275000,None,
0.01128441951726,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.324880000,None,
0.01169458680739,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.328349000,None,
0.01121446426367,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.331997000,None,
0.01126701366341,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.335560000,None,
